epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.35025,3.03818,13.8308,2.28045,0.002,0.6,0.0025,0.0006,2.92532,18.4511,2.02088,0.1,0,0
2,16.5457,2.77824,12.0088,2.21268,0.002,0.6,0.00331,0.00071,2.95739,15.818,1.98913,0.0990995,9.9505e-05,9.9505e-05
3,24.6256,3.0027,20.2892,1.96785,0.003,0.9,0.00687,0.00127,2.92773,14.1487,1.85984,0.098198,0.00019802,0.00019802
4,32.6738,2.85245,7.61753,2.02252,0.00376,0.9,0.01225,0.00315,2.85402,11.5666,1.74174,0.0972955,0.000295545,0.000295545
5,40.5139,2.69271,7.55478,1.95654,0.0206,0.7,0.02566,0.00872,2.73839,9.82283,1.69137,0.0963921,0.00039208,0.00039208
6,48.2284,2.61745,7.08812,1.94226,0.04468,0.4,0.04302,0.01298,2.67502,8.08515,1.64902,0.0954876,0.000487625,0.000487625
7,55.9586,2.79214,6.65256,2.02962,0.076,0.4,0.08314,0.02454,2.72204,6.69271,1.64217,0.0945822,0.00058218,0.00058218
8,63.5348,2.60889,5.75604,1.83624,0.11903,0.5,0.13167,0.04122,2.65122,5.85177,1.65178,0.0936757,0.000675745,0.000675745
9,70.9567,2.32939,4.42451,1.6461,0.49281,0.6,0.40277,0.10901,2.53793,5.08839,1.35926,0.0927683,0.00076832,0.00076832
10,78.479,2.51951,4.01449,1.57537,0.56821,0.7,0.52073,0.14801,2.57116,3.54309,1.31069,0.0918599,0.000859905,0.000859905
11,85.7931,2.30846,3.06217,1.506,0.57092,0.9,0.59582,0.17775,2.45998,2.76921,1.22351,0.0909505,0.0009505,0.0009505
12,93.5642,2.16882,2.83347,1.53743,0.70108,1,0.76643,0.27412,2.31424,2.33396,1.17103,0.0900401,0.00104011,0.00104011
13,101.404,1.95583,2.02637,1.3107,0.90652,0.97175,0.98591,0.42745,1.96751,2.06771,1.07656,0.0891287,0.00112872,0.00112872
14,108.631,1.79433,1.72696,1.29258,1,0.96193,0.995,0.59468,1.56591,1.8421,0.96867,0.0882163,0.00121635,0.00121635
15,115.752,1.49404,1.34926,1.07997,0.89956,1,0.98591,0.71857,1.16424,1.50457,0.87969,0.087303,0.00130298,0.00130298
16,122.881,1.3234,1.2626,1.02109,0.8992,1,0.96773,0.79079,0.90976,1.28096,0.8392,0.0863886,0.00138863,0.00138863
17,130.051,1.5154,1.54241,1.09263,0.89968,1,0.97682,0.73413,1.06325,1.08987,0.85255,0.0854733,0.00147328,0.00147328
18,137.107,1.30446,1.25261,1.10537,0.89968,1,0.97682,0.73413,1.06325,1.08987,0.85255,0.0845569,0.00155694,0.00155694
19,144.43,1.3528,1.34857,1.04581,0.99074,1,0.995,0.81493,0.85837,0.90218,0.81657,0.0836396,0.00163962,0.00163962
20,151.739,1.21886,1.23909,1.14486,0.99074,1,0.995,0.81493,0.85837,0.90218,0.81657,0.0827213,0.00172131,0.00172131
21,158.999,1.12404,1.26148,0.94006,0.99232,1,0.995,0.82749,0.73599,0.82282,0.81125,0.081802,0.001802,0.001802
22,166.269,1.22037,0.98305,1.04302,0.99232,1,0.995,0.82749,0.73599,0.82282,0.81125,0.0808817,0.0018817,0.0018817
23,173.522,0.96785,0.98312,0.97301,0.99166,1,0.995,0.74497,1.01504,0.87141,0.84227,0.0799604,0.00196042,0.00196042
24,180.606,0.97987,0.85355,0.91962,0.99166,1,0.995,0.74497,1.01504,0.87141,0.84227,0.0790381,0.00203814,0.00203814
25,187.843,1.15635,0.938,0.97307,0.99481,1,0.995,0.83272,0.69088,0.62302,0.79521,0.0781149,0.00211488,0.00211488
26,195.041,0.89568,0.75098,0.86409,0.99481,1,0.995,0.83272,0.69088,0.62302,0.79521,0.0771906,0.00219062,0.00219062
27,202.165,0.98988,0.82353,0.89388,0.9945,1,0.995,0.71605,1.08896,0.8173,0.86775,0.0762654,0.00226538,0.00226538
28,209.078,0.93933,0.70229,0.91449,0.9945,1,0.995,0.71605,1.08896,0.8173,0.86775,0.0753391,0.00233914,0.00233914
29,216.372,0.94299,0.86346,0.92206,0.99508,1,0.995,0.85208,0.62773,0.59923,0.77929,0.0744119,0.00241192,0.00241192
30,223.775,0.83431,0.67945,0.88536,0.99508,1,0.995,0.85208,0.62773,0.59923,0.77929,0.0734837,0.00248371,0.00248371
31,230.839,0.8862,0.70158,0.94107,0.99349,1,0.995,0.76528,0.8654,0.74198,0.86422,0.0725545,0.0025545,0.0025545
32,237.731,0.86984,0.59716,0.87494,0.99349,1,0.995,0.76528,0.8654,0.74198,0.86422,0.0716243,0.00262431,0.00262431
33,244.746,1.05845,0.77994,1.05561,0.98852,1,0.995,0.82618,0.69923,0.99213,0.80267,0.0706931,0.00269312,0.00269312
34,251.785,0.8494,0.84868,0.99231,0.98852,1,0.995,0.82618,0.69923,0.99213,0.80267,0.0697609,0.00276095,0.00276095
35,258.827,0.87067,0.79675,0.91237,0.9951,1,0.995,0.82586,0.72835,0.61647,0.7855,0.0688278,0.00282778,0.00282778
